AAA	Anaa, French Polynesia
SPK	Saporro [Chitose], Japan
SPL	Amsterdam [Schiphol], Netherlands
SPM	Spangdahlem [Spangdahlem Air Base], Germany
SPN	Saipan [Saipan International Airport], Mariana Islands
SPO	San Pablo, Spain
SPP	Menongue, Angola
SPQ	San Pedro (Catalina Island), CA [Catalina Air-Sea Terminal Heliport], USA
SPR	San Pedro [Ambregris Caye], Belize
SPS	Wichita Falls, TX [Sheppard Air Force Base/Wichita Falls Municipal], USA
SPT	Sipitang, Malaysia
SPU	Split [Kastel], Croatia
SPW	Spencer, IA [Spencer Municipal Airport], USA
SPX	Houston, TX [Spaceland/Houston Gulf Airport], USA
SPY	San Pedro, Ivory Coast
SPZ	Springdale, AR [Springdale Municipal Airport], USA
SQA	Santa Inez, CA, USA
SQB	Santa Ana, Colombia
SQC	Southern Cross, Western Australia, Australia
SQD	Santa Lucia, Peru
SQE	San Luis de Palenque, Colombia
SQF	Solano, Venezuela
SQG	Sintang, Borneo, Indonesia
SQH	Shin Chu, Taiwan
SQI	Sterling/Rock Falls, IL [Whiteside County Airport-Jos H. Bittorf Field], USA
SQJ	Shehdi, Ethiopia
SQL	San Carlos, CA [San Carlos Airport], USA
SQM	Sao Miguel de Aragao, Brazil
SQN	Sanana, Indonesia
SQO	Storuman, Sweden
SQP	Starcke, Queensland, Australia
SQR	Soroako, Indonesia
SQV	Sequim, WA [Grand View International Airport], USA
SQZ	Scampton, England [Scampton RAF Station], United Kingdom
SRA	Santa Rosa, RS, Brazil
SRB	Santa Rosa, Bolivia
SRC	Searcy, AR [Searcy Municipal Airport], USA
SRD	San Ramon, Bolivia
SRE	Sucre [Juana Azurduy de Padilla], Bolivia
SRG	Semarang [Achmadyani], Indonesia
SRH	Sarh, Chad
SRI	Samarinda, Indonesia
SRJ	San Borja, Bolivia
SRK	Sierra Leone, Sierra Leone
SRL	Santa Rosalia, Mexico
SRM	Sandringham, Queensland, Australia
SRN	Strahan, Tasmania, Australia
SRO	Santana Ramos, Colombia
SRP	Stord [Sorstukken], Norway
SRQ	Sarasota/Bradenton, FL [Sarasota/Bradenton International Airport], USA
SRR	Stradbroke Island, Queensland, Australia
SRS	San Marcos, Colombia
SRT	Soroti, Uganda
SRU	Santa Cruz, CA, USA
SRV	Stony River, AK [Stony River 2 Airport], USA
SRW	Salisbury, NC [Rowan County Airport], USA
SRX	Sert, Libya
SRY	Sary, Iran
SRZ	Santa Cruz [El Trompillo], Bolivia
SSA	Salvador, BA [Dois de Julho], Brazil
SSB	Christiansted, St. Croix [Christiansted Harbor-SSB Seaplane Base], U.S. Virgin Islands
SSC	Sumter, SC [Shaw Air Force Base], USA
SSD	San Felipe, Colombia
SSE	Sholapur, India
SSF	San Antonio, TX [Stinson Municipal Airport], USA
SSG	Malabo, Equatorial Guinea
SSH	Sharm El Sheikh [Ras Nasrani], Egypt
SSI	Brunswick, GA [Malcolm McKinnon Airport], USA
SSJ	Sandnessjoen [Stokka], Norway
SSK	Sturt Creek, Western Australia, Australia
SSL	Santa Rosalia, Venezuela
SSM	Sault Ste. Marie, MI [Sault Ste. Marie Municipal Airport/Sanderson Field], USA
SSN	Seoul [Seoul Air Base], South Korea
SSO	Sao Lourenco, Brazil
SSP	Silver Plains, Queensland, Australia
SSQ	La Sarre, QC [La Sarre Aerodrome], Canada
SSR	Sara, Vanuatu
SSS	Siassi, Papua New Guinea
SST	Santa Teresita, Argentina
SSU	White Sulphur Springs, WV, USA
SSW	Stuart Island, WA [Stuart Island Airpark], USA
SSX	Samsun, Turkey
SSY	M'banza Congo, Angola
SSZ	Santos, SP, Brazil
STA	Stauning, Denmark
STB	Santa Barbara Zulia, Venezuela
STC	St. Cloud, MN [St. Cloud Municipal Airport], USA
STD	Santo Domingo, Venezuela
STE	Stevens Point, WI [Stevens Point Municipal Airport], USA
STF	Stephen Island, Queensland, Australia
STG	St. George Island, AK [St. George Airport], USA
STH	Strathmore, CA [Eckert Field], USA
STI	Santiago [Cibao], Dominican Republic
STJ	St. Joseph, MO [Rosecrans Memorial Airport], USA
STK	Sterling, CO [Crosson Field], USA
STL	St. Louis, MO [Lambert-St. Louis International Airport], USA
STM	Santarem, PA, Brazil
STN	London [Stansted], United Kingdom
STO	Stockholm [Metropolitan Area], Sweden
STP	St. Paul, MN [St. Paul Downtown Holman Field], USA
STQ	St. Marys, PA [St. Marys Municipal Airport], USA
STR	Stuttgart [Echterdingen], Germany
STS	Santa Rosa, CA [Sonoma County Airport], USA
STT	Charlotte Amalie, St. Thomas [Cyril E. King Airport], U.S. Virgin Islands
STU	Santa Cruz, Belize
STV	Surat, India
STW	Stavropol, Stavropol, Russia
STX	Christiansted, St. Croix [Alexander Hamilton Airport], U.S. Virgin Islands
STY	Salto [Aeropuerto Departamental de Salto], Uruguay
STZ	Santa Terezinha, Brazil
SUA	Stuart, FL [Witham Field], USA
SUB	Surabaya [Juanda], Indonesia
SUC	Sundance, WY [Schloredt Airport], USA
SUD	Stroud, OK [Stroud Municipal Airport], USA
SUE	Sturgeon Bay, WI [Door County Cherryland Airport], USA
SUF	Lamezia Terme, Italy
SUG	Surigao, Philippines
SUH	Sur, Oman
SUI	Sokhumi, Abkhazia, Georgia
SUJ	Satu Mare, Romania
SUK	Samchok, South Korea
SUL	Sui, Pakistan
SUM	Sumter, SC [Sumter Municipal Airport], USA
SUN	Sun Valley (Hailey), ID [Friedman Memorial Airport], USA
SUO	Sun River, United Kingdom
SUP	Sumenep, Indonesia
SUQ	Sucua, Ecuador
SUR	Summer Beaver, Canada
SUS	St. Louis, MO [Spirit of St. Louis Airport], USA
SUT	Sumbawanga, Tanzania
SUU	Fairfield, CA [Travis Air Force Base], USA
SUV	Suva [Nausori International], Fiji
SUW	Superior, WI [Richard I. Bong Airport], USA
SUX	Sioux City, IA [Sioux Gateway Airport], USA
SUY	Sudureyri, Iceland
SUZ	Suria, Papua New Guinea
SVA	Savoonga, AK [Savoonga Airport], USA
SVB	Sambava, Madagascar
SVC	Silver City, NM [Grant County Airport], USA
SVD	Kingstown, St. Vincent [Arnos Vale], St. Vincent and the Grenadines
SVE	Susanville, CA [Susanville Municipal Airport], USA
SVF	Save, Benin
SVG	Stavanger [Sola], Norway
SVH	Statesville, NC [Statesville Municipal Airport], USA
SVI	San Vicente del Caguan, Colombia
SVJ	Svolvaer [Helle], Norway
SVK	Silver Creek, Belize
SVL	Savonlinna, Finland
SVM	St. Paul's Mission, Queensland, Australia
SVN	Savannah, GA [Hunter Army Air Field], USA
SVO	Moscow (Moskva), Moscow [Sheremetyevo 2], Russia
SVP	Kuito, Angola
SVQ	Sevilla [San Pablo], Spain
SVR	Svay Rieng, Cambodia
SVS	Stevens Village, AK [Stevens Village Airport], USA
SVT	Staverton, England, United Kingdom
SVU	Savusavu, Fiji
SVV	San Salvador, Venezuela
SVW	Sparrevohn, AK [Sparrevohn LRRS], USA
SVX	Yekaterinburg (Ekaterinburg), Sverdlovsk, Russia
SVY	Savo, Solomon Islands
SVZ	San Antonio, Venezuela
SWA	Shantou, China
SWB	Shaw River, Western Australia, Australia
SWC	Stawell, Victoria, Australia
SWD	Seward, AK [Seward Airport], USA
SWE	Siwea, Papua New Guinea
SWF	Newburgh, NY [Stewart International Airport], USA
SWG	Statwag, Papua New Guinea
SWH	Swan Hill, Victoria, Australia
SWI	Swindon, United Kingdom
SWJ	South West Bay, Vanuatu
SWK	Milano [Segrate], Italy
SWL	Spanish Wells, Bahamas
SWM	Suia-Missu, MT, Brazil
SWN	Sahiwal, Pakistan
SWO	Stillwater, OK [Stillwater Municipal Airport], USA
SWP	Swakopmund, Namibia
SWQ	Sumbawa Besar, Sumbawa, Indonesia
SWS	Swansea, Wales, United Kingdom
SWT	Strzhewoi, Russia
SWU	Su Won City, South Korea
SWW	Sweetwater, TX [Avenger Field], USA
SWY	Sitiawan, Malaysia
SXA	Sialum, Papua New Guinea
SXB	Strasbourg [Entzheim], France
SXC	Avalon (Catalina Island), CA [Peebly Beach Seaplane Base], USA
SXD	Sophia Antipolis [Heliport], France
SXE	Sale, Victoria [West Sale Airport], Australia
SXF	Berlin [Schoenefeld], Germany
SXG	Senanga, Zambia
SXH	Sehulea, Papua New Guinea
SXI	Sirri Island, Iran
SXK	Saumlaki, Indonesia
SXL	Sligo, Ireland
SXM	St. Maarten (Philipsburg) [Princes Juliana], Netherlands Antilles
SXN	Sao Jose do Xingu, Brazil
SXO	Sao Felix Araguai, Brazil
SXP	Sheldon Point, AK [Sheldon Point Airport], USA
SXQ	Soldotna, AK [Soldotna Airport], USA
SXR	Srinagar, India
SXS	Sahabat 16, Malaysia
SXT	Sungei Tiang, Malaysia
SXU	Soddu, Ethiopia
SXX	Sao Felix de Xingu, Brazil
SXY	Sidney, NY [Sidney Municipal Airport], USA
SYA	Shemya Island, AK [Eareckson Air Station], USA
SYB	Seal Bay, AK, USA
SYD	Sydney, New South Wales [Kingsford Smith], Australia
SYE	Sadah, Yemen
SYF	St. Francis, KS [Cheyenne County Municipal Airport], USA
SYI	Shelbyville, TN [Shelbyville Municipal Airport], USA
SYK	Stykkisholmur, Iceland
SYL	Camp Roberts (San Miguel), CA [Roberts Army Air Field], USA
SYM	Simao, China
SYN	Stanton, MN [Stanton Airfield], USA
SYO	Shonai, Japan
SYQ	Shenchiu, China
SYR	Syracuse, NY [Syracuse Hancock International Airport], USA
SYT	Saint-Yan, France
SYU	Sue Island, Queensland, Australia
SYV	Sylvester, GA [Sylvester Airport], USA
SYX	Sanya, China
SYY	Stornway, United Kingdom
SYZ	Shiraz, Iran
SZA	Soyo, Angola
SZC	Santa Cruz, Costa Rica
SZG	Salzburg, Austria
SZH	Senipah, Indonesia
SZK	Skukuza, South Africa
SZL	Knob Noster, MO [Whiteman Air Force Base], USA
SZN	Santa Barbara, CA [Santa Cruz Island Airport], USA
SZP	Santa Paula, CA [Santa Paula Airport], USA
SZQ	Saenz Pena, Argentina
SZR	Stara Zagora, Bulgaria
SZS	Stewart Island, New Zealand
SZU	Segou, Mali
SZV	Suzhou, China
SZX	Zhenzhen (Shenzhen), China
SZY	Selmer, TN [Robert Sibley Airport], USA
SZZ	Szczecin (Stettin) [Goleniow], Poland
TAA	Tarapaina, Solomon Islands
TAB	Tobago (Scarborough), Tobago Is. [Crown], Trinidad & Tobago
TAC	Tacloban [D.Z. Romalduez], Philippines
TAD	Trinidad, CO [Perry Stokes Airport], USA
TAE	Taegu, South Korea
TAF	Tafarovi, Algeria
TAG	Tagbilaran, Philippines
TAH	Tanna Island, Vanuatu
TAI	Taiz [Ganed], Yemen
TAJ	Tadji, Papua New Guinea
TAK	Takamatsu, Japan
TAL	Tanana, AK [Ralph M. Calhoun Memorial Airport], USA
TAM	Tampico [General Francisco Javier Mina], Mexico
TAN	Tangalooma, Australia
TAO	Qingdao, China
TAP	Tapachula, Mexico
TAQ	Tarcoola, South Australia, Australia
TAR	Taranto, Italy
TAS	Tashkent, Tashkent [Yuzhny], Uzbekhistan
TAT	Poprad [Tatry], Slovakia
TAU	Tauramena, Colombia
TAV	Tau Island [Tau Seaplane Base], American Samoa
TAW	Tacuarembo, Uruguay
TAX	Taliabu, Indonesia
TAY	Tartu, Estonia
TAZ	Dashhowuz (Tashauz), Dashhowuz, Turkmenistan
TBA	Tabibuga, Papua New Guinea
TBB	Tuy Hoa, Vietnam
TBC	Tuba City, AZ [Tuba City Airport], USA
TBD	Timbiqui, Colombia
TBE	Timbunke, Papua New Guinea
TBF	Tabiteuea North, Kiribati
TBG	Tabubil, Papua New Guinea
TBH	Tablas, Philippines
TBI	The Bight, Bahamas
TBJ	Tabarka, Tunisia
TBK	Timber Creek, Australia
TBL	Tableland, Australia
TBM	Tumbang Samba, Indonesia
TBN	Fort Leonard Wood, MO [Forney Army Air Field], USA
TBO	Tabora, Tanzania
TBP	Tumbes, Peru
TBR	Statesboro, GA [Statesboro Municipal Airport], USA
TBS	Tbilisi, Abkhazia [Novoalexeyevka], Georgia
TBT	Tabatinga, AM, Brazil
TBU	Nuku'Alofa (Tongatapu) [Fua'Amotu], Tonga
TBW	Tambov, Tambov, Russia
TBZ	Tabriz, Iran
TCA	Tennant Creek, Northern Territory, Australia
TCB	Treasure Cay, Abaco, Bahamas
TCC	Tucumcari, NM [Tucumcari Municipal Airport], USA
TCD	Tarapaca, Colombia
TCE	Tulcea, Romania
TCF	Tocoa, Honduras
TCG	Tocache, Peru
TCH	Tchibanga, Gabon
TCI	Tenerife, Canary Islands, Spain
TCL	Tuscaloosa, AL [Tuscaloosa Municipal Airport], USA
TCM	Tacoma, WA [McChord Air Force Base], USA
TCN	Tehuacan, Mexico
TCO	Tumaco, Colombia
TCQ	Tacna [Coronel Carlos Ciriani Santa Rosa], Peru
TCS	Truth or Consequences, NM [Truth or Consequences Municipal Airport], USA
TCT	Takotna, AK [Takotna Airport], USA
TCU	Thaba'Nchu, South Africa
TCV	Tete, Mozambique
TCW	Tocumwal, New South Wales, Australia
TCY	Tracy, CA [Tracy Municipal Airport], USA
TDA	Trinidad, Colombia
TDB	Tetebedi, Papua New Guinea
TDD	Trinidad [Teniente Jorge Henrich Arauz], Bolivia
TDF	Roxboro, NC [Person County Airport], USA
TDG	Tandag, Philippines
TDJ	Tadjoura, Djibouti
TDK	Taldyqorghan (Taldy Kurgan), Taldyqorghan, Kazakhstan
TDL	Tandil, Argentina
TDO	Toledo, WA [Toledo Airport-Winlock Ed Carlson Memorial Field], USA
TDR	Theodore, Queensland, Australia
TDV	Tanandava, Madagascar
TDW	Amarillo, TX [Tradewind Airport], USA
TDZ	Toledo, OH [Metcalf Field], USA
TEA	Tela, Honduras
TEB	Teterboro, NJ [Teterboro Airport], USA
TEC	Telemaco Borba, PR, Brazil
TED	Thisted, Denmark
TEE	Tebessa, Algeria
TEF	Telfer, Western Australia, Australia
TEG	Tenkodogo, Burkina Faso
TEH	Tetlin, AK [Tetlin Airport], USA
TEI	Tezu, India
TEK	Tatitlek, AK [Tatitlek Seaplane Base], USA
TEL	Telupid, Malaysia
TEM	Temora, New South Wales, Australia
TEO	Terapo, Papua New Guinea
TEP	Teptep, Papua New Guinea
TER	Terceira, Azores [Aeroporto das Lajes], Portugal
TES	Tessenei, Ethiopia
TET	Tete [Chingozi], Mozambique
TEU	Te Anau, New Zealand
TEX	Telluride, CO [Telluride Regional Airport], USA
TEY	Thingeyri, Iceland
TEZ	Tezpur, India
TFA	Tilfalmin, Papua New Guinea
TFF	Tefe, MA, Brazil
TFI	Tufi, Papua New Guinea
TFL	Teofilo Otoni, MG, Brazil
TFM	Telefomin, Papua New Guinea
TFN	Tenerife, Canary Islands [Los Rodeos], Spain
TFR	Tarbes, France
TFS	Santa Cruz de Tenerife, Canary Islands [Reina Sofia-Tenerife Sur], Spain
TFT	Taftan, Pakistan
TFY	Tarfaya, Morocco
TGA	Tengah [Tengah RAF Station], Singapore
TGC	Trenton, TN [Gibson County Airport], USA
TGD	Pogdorica (Titograd), Yugoslavia
TGE	Tuskegee, AL [Moton Field Municipal Airport], USA
TGF	Tignes, France
TGG	Kuala Terengganu, Malaysia
TGH	Tongoa, Vanuatu
TGI	Tingo Maria, Peru
TGJ	Tiga, New Caledonia
TGL	Tagula, Papua New Guinea
TGM	Tirgu Mures [Vidrasau], Romania
TGN	Traralgon, Victoria, Australia
TGO	Tongliao, China
TGR	Touggourt [Sidi Mahdi], Algeria
TGS	Trigo de Morais, Mozambique
TGT	Tanga, Tanzania
TGU	Tegucigalpa [Toncontin], Honduras
TGV	Targovishte, Bulgaria
TGX	Tuxtla Gutierrez, Mexico
TGZ	Tuxtla Gutierrez, Mexico
THA	Tullahoma, TN [Tullahoma Regional Airport/Wm Northern Field], USA
THB	Thaba Tseka, Lesotho
THC	Tchien, Liberia
THE	Teresina, PI, Brazil
THF	Berlin [Tempelhof], Germany
THG	Thangool/Biloela, Queensland, Australia
THH	Taharoa, New Zealand
THI	Tichitt, Mauritania
THK	Thakhek, Laos
THL	Tachilek, Myanmar
THM	Thompson Falls, MT [Thompson Falls Airport], USA
THN	Trollhattan, Sweden
THO	Thorshofn, Iceland
THP	Thermopolis, WY [Hot Springs County-Thermopolis Municipal Airport], USA
THR	Teheran (Theran) [Mehrabad/Qualeh Morgeh Airport], Iran
THT	Tamchakett, Mauritania
THU	Thule [Thule Air Base], Greenland
THV	York, PA [York Airport], USA
THY	Thohoyandou, Venda, South Africa
THZ	Tahoua, Niger
TIA	Tirana [Rinas], Albania
TIB	Tibu, Colombia
TIC	Tinak [Tinak Airport], Marshall Islands
TID	Tiaret [Bou Chekif], Algeria
TIE	Tippi, Ethiopia
TIF	Taif, Saudi Arabia
TIG	Tingwon, Papua New Guinea
TIH	Tikehau Atoll, French Polynesia
TII	Tirinkot, Afghanistan
TIJ	Tijuana [General Abelardo L. Rodriguez], Mexico
TIK	Oklahoma City, OK [Tinker Air Force Base], USA
TIL	Inverlake, SK, Canada
TIM	Timika (Timuka)/Tembagapura, New Guinea, Indonesia
TIN	Tindouf, Algeria
TIO	Tilin, Myanmar
TIP	Tripoli [Idris], Libya
TIQ	Tinian (Peipeinimaru) [West Tinian Airport], Mariana Islands
TIR	Tirupati, India
TIS	Thursday Island, Queensland [Horn Island Airport], Australia
TIU	Timaru, New Zealand
TIV	Tivat, Yugoslavia
TIW	Tacoma, WA [Tacoma Narrows Airport], USA
TIX	Titusville, FL [Space Center Executive Airport], USA
TIY	Tidjikja, Mauritania
TIZ	Tari, Papua New Guinea
TJA	Tirija (Tarija) [Capitan Oriellea Plaza], Bolivia
TJB	Tanjung [Balai], Indonesia
TJG	Tanjung, Indonesia
TJI	Trujillo, Honduras
TJM	Tyumem, Tyumen [Plekhanova], Russia
TJQ	Tanjung Pandan [Buluh Tumbang], Indonesia
TJS	Tanjung Selor, Borneo, Indonesia
TJV	Thanjavur, India
TKA	Talkeetna, AK [Talkeetna Airport], USA
TKB	Tekadu, Papua New Guinea
TKC	Tiko, Cameroon
TKD	Takoradi, Ghana
TKE	Tenakee Springs, AK [Tenakee Air Force Base], USA
TKF	Truckee, CA [Truckee-Tahoe Airport], USA
TKG	Bandar Lampung, Indonesia
TKH	Takhli, Thailand
TKI	Tokeen, AK [Tokeen Seaplane Base], USA
TKJ	Tok, AK [Tok Airport], USA
TKK	Truk Island (Weno Island) [Chuuk International Airport], Micronesia
TKL	Taku Lodge, AK [Taku Lodge Seaplane Base], USA
TKM	Tikal, Guatemala
TKN	Tokuno Shima, Japan
TKO	Tlokoeng, Lesotho
TKP	Takapoto, French Polynesia
TKQ	Kigoma, Tanzania
TKR	Thakurgaon, Bangladesh
TKS	Tokushima, Japan
TKT	Tak, Thailand
TKU	Turku, Finland
TKV	Tatakoto, French Polynesia
TKW	Tekin, Papua New Guinea
TKX	Takaroa, French Polynesia
TKY	Turkey Creek, Western Australia, Australia
TLA	Teller, AK [Teller Airport], USA
TLB	Tarbela, Pakistan
TLC	Toluca [Licenciado Adolfo Lopez Mateos], Mexico
TLD	Tuli Lodge, Botswana
TLE	Tulear, Madagascar
TLF	Telida, AK, USA
TLG	Tulagi, Solomon Islands
TLH	Tallahassee, FL [Tallahassee Regional Airport], USA
TLI	Tolitoli, Indonesia
TLJ	Takotna, AK [Tatalina LRRS], USA
TLK	Talknafjordur, Iceland
TLL	Tallinn [Yulemiste], Estonia
TLM	Tlemcen (Tilimsen) [Zenata], Algeria
TLN	Toulon/Hyeres [La Palyvestre], France
TLO	Tol, Papua New Guinea
TLP	Tumolbil, Papua New Guinea
TLR	Tulare, CA [Mefford Field], USA
TLS	Toulouse [Blagnac], France
TLT	Tuluksak, AK [Tuluksak Airport], USA
TLU	Tolu, Colombia
TLV	Tel Aviv [Ben Gurion], Israel
TLW	Talasea, Papua New Guinea
TLX	Talca, Chile
TLZ	Catalao, GO, Brazil
TMA	Tifton, GA [Henry Tift Myers Airport], USA
TMB	Miami, FL [Kendall-Tamiami Executive Airport], USA
TMC	Tambolaka, Indonesia
TMD	Timbedra, Mauritania
TME	Tame, Colombia
TMG	Tomanggong, Malaysia
TMH	Tanahmerah, Indonesia
TMI	Tumlingtar, Nepal
TMK	Tamky, Vietnam
TML	Tamale, Ghana
TMM	Tamatave, Madagascar
TMN	Tamana, Kiribati
TMO	Tumeremo, Venezuela
TMP	Tampere [Pirkkala], Finland
TMQ	Tambao, Burkina Faso
TMR	Tamanrasset, Algeria
TMS	Sao Tome, Sao Tome, Sao Tome & Principe
TMT	Porto Trombetas, PA, Brazil
TMU	Tambor, Costa Rica
TMW	Tamworth, New South Wales, Australia
TMX	Timimoun, Algeria
TMY	Tiom, New Guinea, Indonesia
TMZ	Termiz (Termes), Surkhondaryo, Uzbekhistan
TNA	Jinan, China
TNB	Tanah Grogot, Indonesia
TNC	Tin City, AK [Tin City LRRS], USA
TND	Trinidad, Cuba
TNE	Tanegashima, Japan
TNF	Toussus-Le-Noble, France
TNG	Tanger (Tangier) [Boukhalef], Morocco
TNH	Tonghua, China
TNI	Satna, India
TNJ	Tanjung Pinang [Kijang], Indonesia
TNK	Tununak, AK [Tununak Airport], USA
TNL	Ternopil (Ternopol), Ternopil, Ukraine
TNN	Tainan, Taiwan
TNO	Tamarindo, Costa Rica
TNP	Twentynine Palms, CA [Twentynine Palms Airport], USA
TNR	Antananarivo [Ivato], Madagascar
TNS	Tungsten, NT [Catung Aerodrome], Canada
TNT	Miami, FL [Dade-Collier Training and Transition Airport], USA
TNU	Newton, IA [Newton Municipal Airport], USA
TOA	Torrance, CA [Zamperini Field], USA
TOB	Tobruk, Libya
TOC	Toccoa, GA [Toccoa R. G. Letourneau Field], USA
TOD	Tioman, Malaysia
TOE	Tozeur [Nefta], Tunisia
TOF	Tomsk, Tomsk [Bogashevo], Russia
TOG	Togiak, AK [Togiak Airport], USA
TOH	Torres, Vanuatu
TOI	Troy, AL [Troy Municipal Airport], USA
TOJ	Madrid [Torrejon Air Force Base], Spain
TOK	Torokina, Papua New Guinea
TOL	Toledo, OH [Toledo Express Airport], USA
TOM	Tombouctou, Mali
TON	Tonu, Papua New Guinea
TOP	Topeka, KS [Philip Billard Municipal Airport], USA
TOQ	Tocopilla, Chile
TOR	Torrington, WY [Torrington Municipal Airport], USA
TOS	Tromso [Langnes], Norway
TOT	Totness, Suriname
TOU	Touho, New Caledonia
TOV	West End, Tortola, British Virgin Islands
TOW	Toledo, PR, Brazil
TOX	Tobol'sk, Tyumen, Russia
TOY	Toyama, Japan
TOZ	Touba, Ivory Coast
TPA	Tampa, FL [Tampa International Airport], USA
TPC	Tarapoa, Ecuador
TPE	Taipei [Chiang Kai Shek], Taiwan
TPF	Tampa, FL [Peter O'Knight Airport], USA
TPG	Taiping, Malaysia
TPH	Tonopah, NV [Tonopah Airport], USA
TPI	Trapani, Papua New Guinea
TPJ	Taplejung, Nepal
TPK	Tapaktuan, Indonesia
TPL	Temple, TX [Draughon-Miller Municipal Airport], USA
TPN	Tiputini, Ecuador
TPO	Tanalian, AK, USA
TPP	Tarapoto, Peru
TPQ	Tepic, Mexico
TPR	Tom Price, Western Australia, Australia
TPS	Trapani [Birgi], Italy
TPT	Tapeta, Liberia
TPU	Tikapur, Nepal
TQE	Tekamah, NE [Tekamah Municipal Airport], USA
TQK	Scott City, KS [Scott City Municipal Airport], USA
TQN	Taluqan, Afghanistan
TQS	Tres Esquinas, Colombia
TRA	Taramajima, Japan
TRB	Turbo, Colombia
TRC	Torreon, Mexico
TRD	Trondheim [Vaernes], Norway
TRE	Tiree Island, United Kingdom
TRF	Sandefjord [Torp], Norway
TRG	Tauranga, New Zealand
TRH	Trona, CA [Trona Airport], USA
TRI	Tri-Cities (Bristol/Johnson City/Kingsport), TN [Tri-City Regional Airport], USA
TRJ	Tarakbits, Papua New Guinea
TRK	Tarakan, Borneo, Indonesia
TRL	Terrell, TX [Terrell Municipal Airport], USA
TRM	Thermal, CA [Thermal Airport], USA
TRN	Torino (Turin) [Caselle], Italy
TRO	Taree, New South Wales, Australia
TRP	Tree Point, AK, USA
TRQ	Tarauaca, AC, Brazil
TRR	Trincomalee, Sri Lanka
TRS	Trieste [Ronchi dei Legionari], Italy
TRT	Tremonton, UT [Tremonton Municipal Airport], USA
TRU	Trujillo, Peru
TRV	Trivandrum [International], India
TRW	Tarawa [Bonriki], Kiribati
TRX	Trenton, MO [Trenton Municipal Airport], USA
TRY	Tororo, Uganda
TRZ	Tiruchirapally, India
TSA	Taipei [Sung Shan], Taiwan
TSB	Tsumeb, Namibia
TSC	Taisha, Ecuador
TSD	Tshipise, South Africa
TSE	Aqmola (Tselinograd), Aqmola, Kazakhstan
TSF	Treviso [S. Angelo], Italy
TSG	Tanacross, AK [Tanacross Airport], USA
TSH	Tshikapa, Zaire
TSI	Tsili Tsili, Papua New Guinea
TSJ	Tsushima, Japan
TSK	Taskul, Papua New Guinea
TSL	Tamuin, Mexico
TSM	Taos, NM [Taos Municipal Airport], USA
TSN	Tianjin [Zhangguizhuang], China
TSO	Scilly Tresco, United Kingdom
TSP	Tehachapi, CA [Tehachapi Municipal Airport], USA
TSR	Timisoara [Giarmata], Romania
TSS	New York, NY [East 34th Street Heliport], USA
TST	Trang, Thailand
TSU	Tabiteuea South, Kiribati
TSV	Townsville, Queensland, Australia
TSW	Tsewi, Papua New Guinea
TSX	Tanjung [Santan], Indonesia
TSY	Tasikmalaya, Indonesia
TTA	Tan Tan [Plage Blanche], Morocco
TTB	Tortoli, Sardinia, Italy
TTC	Taltal, Chile
TTD	Portland, OR [Portland-Troutdale Airport], USA
TTE	Ternate, Indonesia
TTG	Tartagal [General Enrique Mosc], Argentina
TTH	Thumrait, Oman
TTI	Tetiaroa Island, French Polynesia
TTJ	Tottori, Japan
TTL	Turtle Island, Fiji
TTM	Tablon de Tamara, Colombia
TTN	Trenton, NJ [Mercer County Airport], USA
TTO	Britton, SD [Britton Municipal Airport], USA
TTQ	Tortuquero, Costa Rica
TTR	Tanatoraja, Indonesia
TTS	Tsaratanana, Madagascar
TTT	Taitung, Taiwan
TTU	Tetouan (Tetuan) [Sania Ramel], Morocco
TTV	Barat, Yemen
TUA	Tulcan [El Rosal-Col. L.M. Guerrero], Ecuador
TUB	Tubuai, Tubuai Islands, French Polynesia
TUC	Tucuman (San Miguel Tucuman) [Teniente Ben Matienz], Argentina
TUD	Tambacounda, Senegal
TUE	Tupile, Panama
TUF	Tours [Saint-Symphorien], France
TUG	Tuguegarao, Philippines
TUH	Tullahoma, TN [Arnold Air Force Base], USA
TUI	Turaif, Saudi Arabia
TUJ	Tum, Ethiopia
TUK	Turbat, Pakistan
TUL	Tulsa, OK [Tulsa International Airport], USA
TUM	Tumut, New South Wales, Australia
TUN	Tunis [Carthage Airport], Tunisia
TUO	Taupo, New Zealand
TUP	Tupelo, MS [Tupelo Municipal-C.D. Lemons Airport], USA
TUQ	Tougan, Burkina Faso
TUR	Tucurui, PA, Brazil
TUS	Tucson, AZ [Tucson International Airport], USA
TUT	Tauta, Papua New Guinea
TUU	Tabuk, Saudi Arabia
TUV	Tucupita, Venezuela
TUW	Tubala, Panama
TUX	Tumbler Ridge, BC [Tumbler Ridge Aerodrome], Canada
TUY	Tulum, Mexico
TUZ	Tucuma, Brazil
TVA	Morafenobe, Madagascar
TVB	Cabool, MO [Cabool Memorial Airport], USA
TVC	Traverse City, MI [Cherry Capital Airport], USA
TVF	Thief River Falls, MN [Thief River Falls Regional Airport], USA
TVI	Thomasville, GA [Thomasville Municipal Airport], USA
TVK	Centerville, IA [Centerville Municipal Airport], USA
TVL	Lake Tahoe (South Lake Tahoe), CA [Lake Tahoe Airport], USA
TVU	Taveuni, Fiji
TVY	Tavoy, Myanmar
TWA	Twin Hills, AK [Twin Hills Airport], USA
TWB	Toowoomba, Queensland, Australia
TWE	Taylor, AK [Taylor Airport], USA
